City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Lompoc,US,2022-07-05 02:21:49,34.6391,-120.4579,71.56,82,100,23.0
68,Sfantu Gheorghe,RO,2022-07-05 02:18:10,45.8667,25.7833,62.92,90,0,2.15
69,Salalah,OM,2022-07-05 02:21:49,17.0151,54.0924,80.69,89,100,6.91
70,Port Blair,IN,2022-07-05 02:21:49,11.6667,92.75,77.04,94,100,13.8
71,Tiksi,RU,2022-07-05 02:21:50,71.6872,128.8694,38.57,89,100,21.14
72,College,US,2022-07-05 02:21:50,64.8569,-147.8028,84.47,38,75,5.75
73,Beringovskiy,RU,2022-07-05 02:17:48,63.05,179.3167,44.8,96,100,4.0
74,Korla,CN,2022-07-05 02:19:09,41.7597,86.1469,89.91,17,0,3.13
75,Punta Arenas,CL,2022-07-05 02:20:45,-53.15,-70.9167,28.51,100,0,6.91
76,Saskylakh,RU,2022-07-05 02:21:50,71.9167,114.0833,50.83,55,93,5.35
77,Banamba,ML,2022-07-05 02:21:51,13.55,-7.45,77.09,72,77,10.0
78,Toamasina,MG,2022-07-05 02:21:51,-18.1667,49.3833,73.4,83,75,9.22
79,Georgetown,MY,2022-07-05 02:19:53,5.4112,100.3354,82.33,84,40,4.61
80,Prince Rupert,CA,2022-07-05 02:21:51,54.3161,-130.3201,59.09,85,0,5.75
81,Butaritari,KI,2022-07-05 02:21:52,3.0707,172.7902,82.98,73,8,21.0
82,Karaton,ID,2022-07-05 02:21:52,-6.3424,106.1045,83.3,69,54,2.59
83,Puerto Ayora,EC,2022-07-05 02:21:52,-0.7393,-90.3518,71.55,91,47,7.0
84,Togur,RU,2022-07-05 02:21:53,58.3631,82.8265,63.14,70,91,9.22
85,Sept-Iles,CA,2022-07-05 02:20:02,50.2001,-66.3821,59.0,62,40,8.05
86,Comodoro Rivadavia,AR,2022-07-05 02:21:53,-45.8667,-67.5,44.46,49,0,9.22
87,Bubaque,GW,2022-07-05 02:21:53,11.2833,-15.8333,80.1,80,82,12.33
88,Arraial Do Cabo,BR,2022-07-05 02:21:54,-22.9661,-42.0278,70.39,89,0,24.47
89,Lebu,CL,2022-07-05 02:21:54,-37.6167,-73.65,50.67,80,100,19.66
90,Victoria,HK,2022-07-05 02:19:40,22.2855,114.1577,87.19,83,100,13.0
91,Troitskoye,RU,2022-07-05 02:21:54,52.9821,84.6757,68.2,55,62,5.79
92,Apricena,IT,2022-07-05 02:21:55,41.7839,15.4437,75.02,50,0,4.21
93,Marfino,RU,2022-07-05 02:22:55,55.7028,37.3822,68.34,64,0,4.47
94,Aketi,CD,2022-07-05 02:22:55,2.7388,23.7833,69.96,94,100,2.51
95,Lydenburg,ZA,2022-07-05 02:22:56,-25.0978,30.4597,44.4,65,0,1.28
96,Souillac,MU,2022-07-05 02:22:56,-20.5167,57.5167,68.38,83,40,12.66
97,Muros,ES,2022-07-05 02:22:56,42.7762,-9.0603,67.08,76,9,12.17
98,Mar Del Plata,AR,2022-07-05 02:22:56,-38.0023,-57.5575,42.1,100,0,0.0
99,Bambous Virieux,MU,2022-07-05 02:22:57,-20.3428,57.7575,68.25,83,40,12.66
100,Fuyang,CN,2022-07-05 02:22:57,32.9,115.8167,76.87,95,100,8.59
101,Arlit,NE,2022-07-05 02:22:57,18.7369,7.3853,87.37,12,62,4.05
102,Shitanjing,CN,2022-07-05 02:22:58,39.2342,106.3439,78.42,31,37,11.99
103,Little Current,CA,2022-07-05 02:22:58,45.9793,-81.9248,59.05,82,100,4.16
104,Itarema,BR,2022-07-05 02:22:58,-2.9248,-39.9167,74.97,86,76,8.97
105,Luau,AO,2022-07-05 02:22:58,-10.7073,22.2247,56.23,49,7,4.23
106,Pala,TD,2022-07-05 02:22:59,9.3642,14.9046,71.33,91,69,4.72
107,San Miguel,SV,2022-07-05 02:22:59,13.4833,-88.1833,82.06,89,75,4.61
108,Maniitsoq,GL,2022-07-05 02:22:59,65.4167,-52.9,43.16,97,100,12.68
