City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Medveda,RU,2022-06-28 06:04:04,56.5081,92.4078,66.18,52,96,14.16
68,Mapiripan,CO,2022-06-28 06:04:05,2.8892,-72.1256,70.95,89,12,1.21
69,Butaritari,KI,2022-06-28 06:04:05,3.0707,172.7902,82.36,77,92,12.39
70,Provideniya,RU,2022-06-28 06:03:44,64.3833,-173.3,45.03,96,100,8.28
71,Cayenne,GF,2022-06-28 06:04:05,4.9333,-52.3333,76.08,1,0,0.0
72,Jamestown,US,2022-06-28 06:00:04,42.097,-79.2353,58.71,95,27,4.41
73,Yermolayevo,RU,2022-06-28 06:04:06,52.7167,55.8,55.17,67,84,15.88
74,Airai,TL,2022-06-28 06:04:06,-8.9266,125.4092,67.01,69,82,5.23
75,Ancud,CL,2022-06-28 06:04:07,-41.8697,-73.8203,51.22,89,100,30.53
76,Hasaki,JP,2022-06-28 06:04:07,35.7333,140.8333,90.0,78,81,12.39
77,Albany,US,2022-06-28 06:02:40,42.6001,-73.9662,58.69,87,2,5.12
78,Saint-Junien,FR,2022-06-28 06:04:07,45.8833,0.9,56.84,80,26,2.44
79,Dikson,RU,2022-06-28 06:04:08,73.5069,80.5464,32.25,85,100,15.82
80,Puerto Ayora,EC,2022-06-28 06:04:08,-0.7393,-90.3518,68.56,98,62,5.01
81,Fasa,IR,2022-06-28 06:04:08,28.9383,53.6482,96.28,9,9,2.42
82,Cherskiy,RU,2022-06-28 06:04:09,68.75,161.3,47.61,76,100,13.78
83,Pisco,PE,2022-06-28 06:04:09,-13.7,-76.2167,60.85,82,23,5.75
84,Jian,CN,2022-06-28 06:04:09,27.1172,114.9793,88.97,66,100,9.51
85,Nanortalik,GL,2022-06-28 06:04:10,60.1432,-45.2371,44.06,85,100,15.19
86,Gizo,SB,2022-06-28 06:04:10,-8.103,156.8419,81.21,73,91,2.24
87,San Patricio,US,2022-06-28 06:04:10,28.017,-97.5169,83.84,87,92,5.19
88,Georgetown,MY,2022-06-28 05:59:46,5.4112,100.3354,86.95,77,20,7.0
89,Hithadhoo,MV,2022-06-28 06:01:12,-0.6,73.0833,83.35,71,73,8.08
90,Pravia,ES,2022-06-28 06:05:11,43.4906,-6.1508,55.67,88,0,5.75
91,Namibe,AO,2022-06-28 06:05:11,-15.1961,12.1522,66.94,57,2,4.97
92,Den Helder,NL,2022-06-28 06:05:11,52.9599,4.7593,62.98,70,3,8.05
93,Tuktoyaktuk,CA,2022-06-28 06:05:12,69.4541,-133.0374,46.56,71,100,2.93
94,Kapaa,US,2022-06-28 06:05:12,22.0752,-159.319,80.58,82,40,12.66
95,Hobart,AU,2022-06-28 06:02:43,-42.8794,147.3294,58.26,65,75,8.05
96,Tuatapere,NZ,2022-06-28 06:05:12,-46.1333,167.6833,38.8,84,6,2.75
97,Goderich,CA,2022-06-28 06:05:12,43.7501,-81.7165,55.9,79,2,8.39
98,Nikolskoye,RU,2022-06-28 06:05:13,59.7035,30.7861,75.87,50,72,7.43
99,Jasper,US,2022-06-28 06:00:39,37.2001,-94.3502,67.68,72,75,5.84
100,Rio Grande,BR,2022-06-28 06:05:13,-32.035,-52.0986,54.95,99,100,2.01
101,Ankang,CN,2022-06-28 06:05:14,32.68,109.0172,97.21,32,0,1.45
102,Bredasdorp,ZA,2022-06-28 06:02:37,-34.5322,20.0403,54.25,60,0,6.17
103,Saint-Georges,GD,2022-06-28 06:01:26,12.0564,-61.7485,79.18,82,75,16.02
104,Kodiak,US,2022-06-28 06:05:14,57.79,-152.4072,60.31,72,0,4.61
105,San Cristobal,VE,2022-06-28 06:05:15,7.7669,-72.225,64.56,93,27,1.14
